idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1563,78.15,-15.000000819380888,7.000000000000021,-6.000000000000012,6.879195826314799e-06,0.0,0.0,0.00019362537386768963,-1.0658141036401503e-12,0.0,0.0,70.0,255.0,255.0,255.0
1564,78.2,-15.000000214751266,7.0000000000000195,-6.000000000000012,1.751450534825949e-05,-5.3290705182007514e-14,0.0,0.00018951076867779193,-5.329070518200751e-13,0.0,0.0,70.0,255.0,255.0,255.0
1565,78.25,-14.999999067930354,7.000000000000016,-6.000000000000012,2.5830272694093992e-05,-5.3290705182007514e-14,0.0,6.852931395684436e-05,3.552713678800501e-13,0.0,0.0,70.0,255.0,255.0,255.0
1566,78.30000000000001,-14.999997631723996,7.000000000000014,-6.000000000000012,2.4367436743943927e-05,-1.7763568394002505e-14,0.0,-0.00018933323122638512,5.329070518200751e-13,0.0,0.0,70.0,255.0,255.0,255.0
1567,78.35000000000001,-14.99999663118668,7.000000000000014,-6.000000000000012,6.89694957145548e-06,0.0,0.0,-0.0005004094518312741,1.7763568394002505e-13,0.0,0.0,70.0,255.0,255.0,255.0
1568,78.4,-14.999996942029039,7.000000000000014,-6.000000000000012,-2.567350843918348e-05,0.0,0.0,-0.0007226197350718166,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1569,78.45,-14.999999198537523,7.000000000000014,-6.000000000000012,-6.536502393572619e-05,0.0,0.0,-0.0007072638158689415,8.881784197001252e-14,0.0,0.0,70.0,255.0,255.0,255.0
1570,78.5,-15.000003478531433,7.000000000000014,-6.000000000000012,-9.639989002607763e-05,8.881784197001252e-15,0.0,-0.00025575488056261975,1.7763568394002505e-13,0.0,0.0,70.0,255.0,255.0,255.0
1571,78.55000000000001,-15.000008838526526,7.000000000000015,-6.000000000000012,-9.094051199198816e-05,1.7763568394002505e-14,0.0,0.0007066012386758302,-8.881784197001252e-14,0.0,0.0,70.0,255.0,255.0,255.0
1572,78.60000000000001,-15.000012572582632,7.000000000000016,-6.000000000000012,-2.5739766158494604e-05,0.0,0.0,0.0018675534999346155,-3.552713678800501e-13,0.0,0.0,70.0,255.0,255.0,255.0
1573,78.65,-15.000011412503142,7.000000000000015,-6.000000000000012,9.581483800147339e-05,-1.7763568394002505e-14,0.0,0.002696853565353763,-8.881784197001252e-14,0.0,0.0,70.0,255.0,255.0,255.0
1574,78.7,-15.000002991098832,7.000000000000014,-6.000000000000012,0.00024394559037688168,-8.881784197001252e-15,0.0,0.0026395444928439815,1.7763568394002505e-13,0.0,0.0,70.0,255.0,255.0,255.0
1575,78.75,-14.999987017944104,7.000000000000014,-6.000000000000012,0.00035976928728587154,0.0,0.0,0.0009544902075830919,8.881784197001252e-14,0.0,0.0,70.0,255.0,255.0,255.0
1576,78.80000000000001,-14.999967014170103,7.000000000000014,-6.000000000000012,0.00033939461113519087,0.0,0.0,-0.0026370717208124006,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1577,78.85000000000001,-14.99995307848299,7.000000000000014,-6.000000000000012,9.606211520463148e-05,0.0,0.0,-0.00696980454577556,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1578,78.9,-14.999957407958583,7.000000000000014,-6.000000000000012,-0.0003575858434423651,0.0,0.0,-0.010064794528119592,0.0,0.0,0.0,70.0,255.0,255.0,255.0
